"","MasterID","county","huc","smcshed","smc_lu","COMID","psa6c","strcls","lower","meds","upper","csci_sampledate","CSCI","yr","h_asci_max","ASCI","TN","total_n_rep_calc","TP","total_p_rep_calc","Cond","IPI","ev_flowhab","Ev_FlowHab","h_aqhab","H_AqHab","h_subnat","H_SubNat","pct_safn","PCT_SAFN","pct_safn_pred","xcmg","XCMG","xcmg_pred","pct_rc","indexscore_cram","bs","blc","hy","ps","psa2","missing_habitat","missing_chemistry","missing_cram","data_complete","filled_columns","Ev_FlowHab_raw","H_AqHab_raw","H_SubNat_raw","PCT_SAFN_raw","XCMG_raw","cnty","SMC_Name","RBNAME","geometry","pChem","pHab","pChemHab","BiologicalCondition","WaterChemistryCondition","HabitatCondition","OverallStressCondition","OverallStressCondition_detail","StreamHealthIndex","all_there"
"146","903M20177","San Diego",903,"Northern San Diego","Agricultural","20341471","SC","possibly unconstrained",0.5607031,0.85145649,1.08312716,2017-05-03,0.7870264,2017,"0.877243119","1.053841018",2.69666666666667,2.8,0.0165,0.0165,956,1.04,0.61,0.63,1.25,0.57,1.88,0.99,30,1,49.29,150,0.789999999999999,143.33,0,75,72.22,100,66.67,62.5,"Arid","NO","NO","NO","YES","",0.61,1.25,1.88,30,150,"San Diego","Northern San Diego","San Diego",c(-117.11527, 33.39672),0.74816345302264,0.718954299776609,0.929222421312907,"Impacted for CSCI","Moderate","Moderate","Severe","Stressed by low levels of chemistry or habitat degradation","Impacted and stressed",TRUE
"147","408M03038","Ventura",408,"Calleguas","Urban","17563908","SC","likely constrained",0.36652907,0.55388323,0.7539493,2017-04-27,0.63658103,2017,"0.359804831","0.363589652",5,5,1.6,NA,1810,0.8,1,1,1.37,0.7,1.2,0.63,12,1,48.65,8,0.17,107.59,0,53,25,67.67,58.33,62.5,"Arid","NO","NO","NO","YES","",1,1.37,1.2,12,8,"Ventura","Calleguas","Los Angeles",c(-118.88512, 34.27491),0.999585272995908,0.931855309232174,0.999971738556553,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"148","402M00046","Ventura",402,"Ventura","Urban","17586744","SC","possibly unconstrained",0.61534411,0.79672642,1.03532294,2017-04-26,0.75088343,2017,"0.803191397","0.85945885",0.67,0.67,0.003,NA,942,0.75,0.51,0.52,1.06,0.62,1.11,0.58,2,1,19.41,22,0.35,89.64,1,71,36.11,93.29,91.67,62.5,"Arid","NO","NO","NO","YES","",0.51,1.06,1.11,2,22,"Ventura","Ventura","Los Angeles",c(-119.30011, 34.42402),0.447746755994129,0.293549953272443,0.609860669966607,"Impacted for CSCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"149","404M04517","Ventura",404,"Santa Monica Bay","Open","20364689","SC","possibly unconstrained",0.68516458,0.97971863,1.20842066,2017-04-26,0.75768899,2017,"0.759752301","0.873542795",0.45,0.45,0.039,0.039,3640,0.85,0.66,0.69,1.65,0.79,1.42,0.75,38,0.61,25.75,91,0.51,131.35,2,74,77.78,93.29,75,50,"Arid","NO","NO","NO","YES","",0.66,1.65,1.42,38,91,"Ventura","Santa Monica Bay","Los Angeles",c(-118.70612, 34.17649),0.999527952703816,0.843569567335895,0.99992615743722,"Impacted for CSCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"150","403M01539","Ventura",403,"Santa Clara","Open","17568061","SC","likely unconstrained",0.89324277,1.00493923,1.13038672,2017-04-20,0.99191404,2017,"1.10768855447851","1.05998853427014",0,0,0.0052,0.0052,536.7,1.15,0.88,0.92,1.52,0.78,1.84,0.97,15,0.87,20.77,127,0.85,109.02,0,86,75,93.29,100,75,"Arid","NO","NO","NO","YES","",0.88,1.52,1.84,15,127,"Ventura","Santa Clara","Los Angeles",c(-119.16554, 34.54733),0.138059990117886,0.119449943033645,0.241018675196724,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"151","402M00030","Ventura",402,"Ventura","Agricultural","17586664","SC","possibly unconstrained",0.60399059,0.79672642,1.08995979,2017-04-19,0.63489086,2017,"1.016031631","1.085415822",2.1,2.1,0.005,0.005,987,0.91,0.99,1,1.17,0.72,1.54,0.81,7,0.88,14.14,29,0.36,95.53,0,72,47.22,100,91.67,50,"Arid","NO","NO","NO","YES","",0.99,1.17,1.54,7,29,"Ventura","Ventura","Los Angeles",c(-119.29959, 34.43881),0.613893514207222,0.369669744244273,0.756625400061293,"Impacted for CSCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"152","402M00042","Ventura",402,"Ventura","Agricultural","17586550","SC","possibly unconstrained",0.63918618,0.79743359,1.03552038,2017-04-19,0.66807478,2017,"1.092699988","1.081665467",0,0,0.0075,0.0075,1024,0.91,0.6,0.62,1.41,0.83,1.84,0.97,17,0.76,14,47,0.48,92.54,0,70,52.78,90.29,75,62.5,"Arid","NO","NO","NO","YES","",0.6,1.41,1.84,17,47,"Ventura","Ventura","Los Angeles",c(-119.28891, 34.46039),0.379431391747872,0.782234630243592,0.864861647564756,"Impacted for CSCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"153","404M04599","Ventura",404,"Santa Monica Bay","Open","20365005","SC","possibly unconstrained",0.77749817,0.97556402,1.17177358,2016-08-03,1.02408172,2016,"1.019748751","1.118954522",0.54,0.54,0.11,0.11,913,0.83,0.09,0.07,1.78,1,1.97,1,20,0.77,17.8,84,0.48,130.71,0,88,80.56,100,83.33,87.5,"Arid","NO","NO","NO","YES","",0.09,1.78,1.97,20,84,"Ventura","Santa Monica Bay","Los Angeles",c(-118.92442, 34.09458),0.88256381158351,0.607949314826105,0.953959061867104,"Healthy","Moderate","Moderate","Severe","Stressed by low levels of chemistry or habitat degradation","Healthy and resilient",TRUE
"154","408M03020","Ventura",408,"Calleguas","Agricultural","17562626","SC","likely constrained",0.30979055,0.56312043,0.7539493,2016-07-12,0.4160091,2016,"0.563587264","0.469907135",1.54,1.54,1.9,1.9,1988,0.61,0,0,1.57,0.85,1.05,0.55,76,0.47,49.98,47,0.46,96.19,0,64,72.22,82.92,50,50,"Arid","NO","NO","NO","YES","",0,1.57,1.05,76,47,"Ventura","Calleguas","Los Angeles",c(-119.05726, 34.16846),0.999650915162566,0.990092714882951,0.999996541516985,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"155","408M03027","Ventura",408,"Calleguas","Open","948070330","SC",NA,NA,NA,NA,2016-06-29,0.76521284,2016,"0.35682801","0.450967508",8.2,8.2,2.7,NA,451,0.92,0.63,0.65,1.64,0.78,1.8,0.95,28,0.88,34.54,100,0.47,146.83,0,74,86.11,90.29,58.33,62.5,"Arid","NO","NO","NO","YES","",0.63,1.64,1.8,28,100,"Ventura","Calleguas","Los Angeles",c(-118.92975, 34.22489),0.994603984878927,0.927939235238188,0.999611159023709,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"156","403M01522","Ventura",403,"Santa Clara","Agricultural","17574677","SC","possibly constrained",0.60816691,0.76402356,1.138579,2016-06-29,0.39409337,2016,"0.650666012","0.667707316",0.49,0.49,0.046,0.046,1595,0.82,0.69,0.72,1.49,0.96,1.05,0.55,75,0.21,28.28,73,0.66,88.36,0,70,77.78,86.42,66.67,50,"Arid","NO","NO","NO","YES","",0.69,1.49,1.05,75,73,"Ventura","Santa Clara","Los Angeles",c(-118.78842, 34.41442),0.944636419006588,0.970141307532622,0.998346915861225,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"157","408M03036","Ventura",408,"Calleguas","Agricultural","17562610","SC",NA,-999999,-999999,-999999,2016-06-20,0.2480184,2016,"0.341163562","0.463457992",100,100,1.4,1.4,5614,0.31,0,0,1.49,0.8,0.11,0.06,99,0.15,48.2,50,0.21,143.15,0,50,50,73.25,50,25,"Arid","NO","NO","NO","YES","",0,1.49,0.11,99,50,"Ventura","Calleguas","Los Angeles",c(-119.07852, 34.17991),0.999999986158649,0.997293630766476,0.99999999996254,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"158","403M01500","Ventura",403,"Santa Clara","Agricultural","17573685","SC","possibly constrained",0.30107358,0.53901413,0.86402714,2016-06-15,0.44432947,2016,"0.880870675","0.778914318",4.6,4.6,0.015,0.015,1629,0.41,0.99,1,1.08,0.52,0.55,0.29,24,0.04,40.02,10,0.01,136.08,76,39,25,62.5,41.67,25,"Arid","NO","NO","NO","YES","",0.99,1.08,0.55,24,10,"Ventura","Santa Clara","Los Angeles",c(-119.14776, 34.29132),0.946469329139821,0.99934309810071,0.999964835600642,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"159","403M01528","Ventura",403,"Santa Clara","Agricultural","17573685","SC","possibly constrained",0.30107358,0.53901413,0.86402714,2016-06-15,0.37682501,2016,"0.468660389","0.573690326",7.7,7.7,0.086,0.086,2826,0.61,0.92,0.97,1.43,0.77,0.75,0.39,92,0.06,34.03,50,0.29,127.89,0,66,58.33,90.29,66.67,50,"Arid","NO","NO","NO","YES","",0.92,1.43,0.75,92,50,"Ventura","Santa Clara","Los Angeles",c(-119.14219, 34.27599),0.9994053071797,0.988403754974941,0.999993103796341,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"160","907M23330","San Diego",907,"Mission Bay and San Diego River","Open","20330036","SC","possibly unconstrained",0.66573354,0.88185815,1.16290011,2016-06-09,0.96912576,2016,"0.946159824","1.067162538",0.52,0.52,0.007,0.007,803,0.74,0.64,0.66,1.16,0.66,1.2,0.63,21,1,40.42,32,0.22,122.58,0,75,55.56,100,83.33,62.5,"Arid","NO","NO","NO","YES","",0.64,1.16,1.2,21,32,"San Diego","Mission Bay and San Diego River","San Diego",c(-116.70228, 33.00358),0.4139141123989,0.528550331083015,0.723690002333544,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"161","907M23327","San Diego",907,"Mission Bay and San Diego River","Urban","20334438","SC","possibly constrained",0.38979613,0.58002047,0.87806861,2016-06-08,0.62544156,2016,"0.637351452","0.549772458",2.035,2.2,0.038,NA,1837,0.82,0.2,0.19,1.63,0.77,1.34,0.71,55,0.64,43.77,138,0.71,144.73,1,59,63.89,48.92,50,75,"Arid","NO","NO","NO","YES","",0.2,1.63,1.34,55,138,"San Diego","Mission Bay and San Diego River","San Diego",c(-116.78974, 32.8378),0.977394887699744,0.976972624229601,0.99947946358473,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"162","907M23331","San Diego",907,"Mission Bay and San Diego River","Urban","20332970","SC","likely constrained",0.2851845,0.53407362,0.7739069,2016-06-08,0.77354068,2016,"0.466667663","0.436034641",1.9,1.9,0.119,NA,2359,0.66,0.63,0.65,1.65,0.79,0.71,0.37,87,0.41,57.81,75,0.4,134.71,1,57,52.78,75,50,50,"Arid","NO","NO","NO","YES","",0.63,1.65,0.71,87,75,"San Diego","Mission Bay and San Diego River","San Diego",c(-116.90771, 32.84058),0.997692477411008,0.992366249463513,0.999982384948198,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"163","902M20173","San Diego",902,"Northern San Diego","Urban","22549103","SC","possibly constrained",0.38898443,0.6316851,0.84002133,2016-06-07,0.43962647,2016,"0.357794603","0.411213591",10.75,11,0.139,NA,2063,0.98,0.5,0.51,1.34,0.6,1.74,0.92,38,0.91,47.58,147,0.77,143.07,0,75,77.78,100,58.33,62.5,"Arid","NO","NO","NO","YES","",0.5,1.34,1.74,38,147,"San Diego","Northern San Diego","San Diego",c(-117.18096, 33.40528),0.997897862526585,0.885665713432164,0.99975965361171,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"164","903M20165","San Diego",903,"Northern San Diego","Agricultural","948070417","SC",NA,NA,NA,NA,2016-06-07,0.60736504,2016,"0.471050836","0.458146511",0.41,0.41,0.335,0.335,2777,0.88,0.4,0.41,1.69,0.82,1.11,0.58,56,0.76,52.94,139,0.72,143.18,0,72,66.67,80.63,66.67,75,"Arid","NO","NO","NO","YES","",0.4,1.69,1.11,56,139,"San Diego","Northern San Diego","San Diego",c(-117.18089, 33.2747),0.999501451981483,0.852457337577458,0.999926442898002,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"165","402M00015","Ventura",402,"Ventura","Agricultural","948070367","SC",NA,NA,NA,NA,2016-06-06,0.69814951,2016,"0.720128064","0.75903576",0.28,0.28,0.0047,NA,1334,0.97,0.19,0.18,1.59,0.84,1.95,1,15,0.97,29.24,98,0.73,101.43,0,76,80.56,86.42,75,62.5,"Arid","NO","NO","NO","YES","",0.19,1.59,1.95,15,98,"Ventura","Ventura","Los Angeles",c(-119.29151, 34.47484),0.645985361290535,0.5750474382303,0.849560572376438,"Impacted for CSCI and ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"166","402M00029","Ventura",402,"Ventura","Urban","17587720","SC","possibly unconstrained",0.50872664,0.79285658,1.01859741,2016-06-06,0.35406609,2016,"0.657926937","0.545551478",0.58,0.58,0.017,0.017,1260,0.93,0.3,0.3,1.63,0.96,1.77,0.93,26,0.96,43.38,65,0.56,97.67,4,67,61.11,82.92,75,50,"Arid","NO","NO","NO","YES","",0.3,1.63,1.77,26,65,"Ventura","Ventura","Los Angeles",c(-119.31172, 34.35798),0.785329084256976,0.638662953061807,0.922431445241898,"Impacted for CSCI and ASCI","Moderate","Moderate","Severe","Stressed by low levels of chemistry or habitat degradation","Impacted and stressed",TRUE
"167","902WE0888","San Diego",902,"Northern San Diego","Agricultural","22548347","SC","possibly constrained",0.50620477,0.68864908,1.09602295,2016-06-06,1.14130715,2016,"0.823352523","0.815586282",2.785,2.9,0.0086,NA,2003,1.1,0.57,0.59,1.75,0.84,1.47,0.77,41,0.99,56.8,164,0.91,135.59,0,69,69.44,85.38,58.33,62.5,"Arid","NO","NO","NO","YES","",0.57,1.75,1.47,41,164,"San Diego","Northern San Diego","San Diego",c(-117.30182, 33.45407),0.963695592037714,0.83380590726584,0.993966421856457,"Impacted for ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"168","801M16908","Riverside",801,"Middle Santa Ana","Agricultural","22560628","SC","possibly constrained",0.42070088,0.632557,0.87203914,2016-05-24,0.79581562,2016,"0.22480536","0.220891192",11.2222333333333,11.5,0.123,0.123,1243,1.1,0.53,0.55,1.83,1,1.61,0.85,36,0.89,43.64,140,0.88,117.83,0,66,55.56,93.29,66.67,50,"Arid","NO","NO","NO","YES","",0.53,1.83,1.61,36,140,"Riverside","Middle Santa Ana","Santa Ana",c(-117.63602, 33.91828),0.982993152260256,0.758109796497359,0.995886210139295,"Impacted for ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"169","SMC11581","Riverside",801,"Middle Santa Ana","Agricultural","22563070","SC","likely constrained",0.36801074,0.60399059,0.76810914,2016-05-24,0.60210658,2016,"0.742219924","0.682467899",4.6,4.6,0.0555,0.1,767,0.32,0.91,0.96,0,0.07,0,0,0,0.09,42.67,0,0.17,99.66,99,68,63,81,66,59,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0.91,0,0,0,0,"Riverside","Middle Santa Ana","Santa Ana",c(-117.60611, 33.95246),0.857630924488003,0.989933120215881,0.998566787631845,"Impacted for CSCI and ASCI","Moderate","Severe","Severe","Stressed by habitat degradation","Impacted and stressed",TRUE
"170","845M10601","Orange",845,"San Gabriel","Urban","22527365","SC","likely constrained",0.21178273,0.45791682,0.65917977,2016-05-19,0.71497073,2016,"0.675328563","0.7848344",6.18,6.18,0.271,0.271,1556,0.72,0.14,0.12,1.85,1,1.27,0.67,73,0.49,48.88,95,0.51,135.52,0,58,41.67,55.17,83.33,50,"Arid","NO","NO","NO","YES","",0.14,1.85,1.27,73,95,"Orange","San Gabriel","Santa Ana",c(-117.88829, 33.90791),0.995448311103197,0.774412473586086,0.998973195760764,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"171","801M12641","Orange",801,"Lower Santa Ana","Urban","20355352","SC",NA,-999999,-999999,-999999,2016-05-19,0.39337607,2016,"0.552097669","0.572088268",0.288666666666667,0.433,0.035,0.0425,3503.66666666667,0.28,0.05,0.03,0.62,0.37,1.21,0.64,4,0.22,49.56,9,0.01,135.67,91,29,33.33,25,33.33,25,"Arid","NO","NO","NO","YES","",0.05,0.62,1.21,4,9,"Orange","Lower Santa Ana","Santa Ana",c(-117.88292, 33.69422),0.999174318338713,0.999500130562523,0.999999587266972,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"172","901M14126","Orange",901,"San Juan","Open","20348695","SC","possibly constrained",0.33214949,0.68641226,0.83829017,2016-05-17,0.59178416,2016,"0.392152699","0.463869608",3.57,NA,0.349,0.349,3422,0.66,0.55,0.57,1.65,0.84,0.85,0.45,78,0.43,49.28,78,0.36,143.94,0,71,66.67,93.29,75,50,"Arid","NO","NO","NO","YES","",0.55,1.65,0.85,78,78,"Orange","San Juan","San Diego",c(-117.7223, 33.54743),0.999954267632152,0.919244342939333,0.999996306852586,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"173","903M20166","San Diego",903,"Northern San Diego","Urban","20342531","SC",NA,-999999,-999999,-999999,2016-05-02,0.57204735,2016,"0.695365186","0.731373958",46.05,46.05,0.11,0.11,3143,0.83,0.57,0.59,1.47,0.81,1.12,0.59,68,0.7,60.86,118,0.55,151.3,0,61,55.56,75,75,37.5,"Arid","NO","NO","NO","YES","",0.57,1.47,1.12,68,118,"San Diego","Northern San Diego","San Diego",c(-117.23564, 33.24022),0.999892141343994,0.795812123796627,0.9999779765701,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"174","801M12644","Orange",801,"Lower Santa Ana","Urban","22563124","SC","possibly constrained",0.35729776,0.57702195,0.93160389,2016-04-28,0.61478129,2016,"0.553956364","0.714819966",0.1895,0.379,0.0205,0.021,3587.66666666667,0.27,0.22,0.21,0.81,0.36,0.69,0.36,10,0.28,45.47,5,0,143.15,76,29,25,25,41.67,25,"Arid","NO","NO","NO","YES","",0.22,0.81,0.69,10,5,"Orange","Lower Santa Ana","Santa Ana",c(-117.76561, 33.89118),0.998857528137045,0.998673949549521,0.999998485024671,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"175","802S09698","Riverside",802,"San Jacinto","Open","22536092","SC","possibly unconstrained",0.68082268,0.974679,1.12459047,2016-04-26,0.85348049,2016,"0.941612972","0.959662343",0.2,0.2,0.04,0.04,189,1.02,1,1,1.5,0.8,1.64,0.86,47,0.57,29.33,119,0.71,124.64,0,81,72,92,81,75,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",1,1.5,1.64,47,119,"Riverside","San Jacinto","Santa Ana",c(-116.70739, 33.7459),0.272846238569264,0.719486580648371,0.796023611986665,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"176","901M14134","Orange",901,"San Juan","Urban","20348415","SC","likely constrained",0.35001379,0.54833559,0.76658997,2016-04-25,0.66986137,2016,"0.608034002","0.463538927",0.617,0.617,0.12,0.082,1376,0.96,0.76,0.79,1.62,0.89,1.55,0.82,35,0.72,29.25,87,0.58,115.19,0,75,69.44,93.29,75,62.5,"Arid","NO","NO","NO","YES","",0.76,1.62,1.55,35,87,"Orange","San Juan","San Diego",c(-117.63283, 33.59231),0.96362259758729,0.778803492845035,0.991953445646938,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"177","402M00002","Ventura",402,"Ventura","Urban","17586972","SC","possibly constrained",0.46632164,0.69730728,0.9348956,2015-08-13,0.70665225,2015,"0.7734942122653","0.629549187547452",1.2,1.2,0.36,0.36,1806,1.07,0.74,0.77,1.79,1,1.83,0.96,44,0.81,45.05,81,0.68,93.05,0,65,55.56,93.29,75,37.5,"Arid","NO","NO","NO","YES","",0.74,1.79,1.83,44,81,"Ventura","Ventura","Los Angeles",c(-119.29916, 34.31063),0.996579392919049,0.700625127967836,0.998975956192868,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"178","404M07349","Los Angeles",404,"Santa Monica Bay","Open","20365093","SC","possibly constrained",0.42070088,0.70171617,0.99348299,2015-07-15,0.72473013,2015,"0.713646341722134","0.671200043213749",3.2,3.2,1.3,NA,1827,1.15,0.47,0.48,1.56,0.8,2.11,1,16,0.97,30.2,168,1,123.23,0,84,88.89,96.54,75,75,"Arid","NO","NO","NO","YES","",0.47,1.56,2.11,16,168,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.70166, 34.07803),0.999412255821275,0.481439510722556,0.99969521909111,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"179","408M03019","Ventura",408,"Calleguas","Agricultural","17563970","SC","possibly constrained",0.4689453,0.68058278,0.89409138,2015-07-14,0.71478848,2015,"0.562822424703936","0.52304304264967",13,13,0.2,0.2,1812,0.86,0.44,0.45,1.69,0.91,1.5,0.79,53,0.45,34.97,96,0.66,110.41,9,71,58.33,75,75,75,"Arid","NO","NO","NO","YES","",0.44,1.69,1.5,53,96,"Ventura","Calleguas","Los Angeles",c(-118.94037, 34.26742),0.997502132738963,0.875855786360076,0.999689904233102,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"180","404M04532","Ventura",404,"Santa Monica Bay","Urban","948070152","SC",NA,NA,NA,NA,2015-07-14,0.3828235,2015,"0.586630140551749","0.622256507010429",0.3,0.3,0.18,0.18,3885,0.81,0.57,0.59,1.76,0.88,1.5,0.79,46,0.65,34.3,69,0.4,128.88,0,56,58.33,35.75,66.67,62.5,"Arid","NO","NO","NO","YES","",0.57,1.76,1.5,46,69,"Ventura","Santa Monica Bay","Los Angeles",c(-118.78748, 34.1744),0.999930648836306,0.926161824162823,0.999994879236581,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"181","801MIC272","San Bernardino",801,"Upper Santa Ana","Open","22558960","SC","possibly constrained",0.68706912,0.72640807,1.07526646,2015-07-09,0.69042234,2015,"1.118500866","1.151664556",0.12,NA,0,NA,199.466666666667,0.43,0.05,0.03,0.48,0.37,1.58,0.83,44,0.53,22.65,4,0.1,114.79,0,61,25,90.29,66.67,62.5,"Arid","NO","NO","NO","YES","",0.05,0.48,1.58,44,4,"San Bernardino","Upper Santa Ana","Santa Ana",c(-116.91434, 34.08788),0.0577429561675468,0.96464464568347,0.966686168358057,"Impacted for CSCI","Low","Severe","Severe","Stressed by habitat degradation","Impacted and stressed",TRUE
"182","801M15377","San Bernardino",801,"Middle Santa Ana","Open","24843850","SC","possibly unconstrained",0.52644185,0.84236995,1.11151878,2015-07-07,0.9894707,2015,"0.951115036836844","1.01718832819252",0.5435,0.507,0,NA,376.666666666667,0.75,0.36,0.36,1.2,0.65,1.46,0.77,26,0.78,24.82,56,0.42,112.12,0,81,72,92,81,75,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0.36,1.2,1.46,26,56,"San Bernardino","Middle Santa Ana","Santa Ana",c(-117.46218, 34.21799),0.125697900793782,0.672421340882775,0.713597290678652,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"183","801MLC069","San Bernardino",801,"Middle Santa Ana","Open","22557786","SC","possibly unconstrained",0.75278057,1.0531666,1.1541604,2015-07-06,1.04548772,2015,"0.995132889","0.943744806",0.286,0.286,0.00833333333333333,0.025,276.525,0.909999999999998,0.520000000000001,0.54,1.35,0.760000000000002,1.5,0.790000000000002,21,0.810000000000001,22.68,85,0.629999999999999,105.54,0,84,75,93.29,91.67,75,"Arid","NO","NO","NO","YES","",0.520000000000001,1.35,1.5,21,85,"San Bernardino","Middle Santa Ana","Santa Ana",c(-117.51276, 34.2481),0.149599473273435,0.331536111390502,0.431537957028795,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"184","404M07346","Los Angeles",404,"Santa Monica Bay","Urban","20366125","SC","likely constrained",0.30979055,0.4421876,0.69402996,2015-07-01,0.65191934,2015,"0.925402176631035","0.814409340706629",0.77,0.77,0.47,0.47,3116,1.06,0.82,0.86,1.8,0.94,1.68,0.88,23,1,42.89,108,0.57,138.19,2,61,55.56,90.29,50,50,"Arid","NO","NO","NO","YES","",0.82,1.8,1.68,23,108,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.39639, 33.8024),0.999875605535815,0.946218993034537,0.999993309940455,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"185","801LYC062","San Bernardino",801,"Middle Santa Ana","Open","0","SC",NA,NA,NA,NA,2015-07-01,0.86911771,2015,"1.011454137","1.116987742",0.496,0.496,0.085,0.085,306.8,0.85,0.97,1,0.72,0.39,1.59,0.84,25,0.79,24.69,51,0.44,104.07,0,63,36.11,90.29,75,50,"Arid","NO","NO","NO","YES","",0.97,0.72,1.59,25,51,"San Bernardino","Middle Santa Ana","Santa Ana",c(-117.45844, 34.21257),0.564752186850761,0.776419315575123,0.902686996041662,"Healthy","Moderate","Moderate","Severe","Stressed by low levels of chemistry or habitat degradation","Healthy and resilient",TRUE
"186","801MLC057","San Bernardino",801,"Middle Santa Ana","Open","22557766","SC","likely unconstrained",0.88863604,1.05653066,1.17788236,2015-07-01,0.78361616,2015,"0.916058939","0.891927935",0.211,0.182,0.0095,0.019,248.2,0.97,0.55,0.57,1.36,0.93,1.12,0.59,1,0.99,16.43,94,0.68,104.9,0,80,52.78,100,91.67,75,"Arid","NO","NO","NO","YES","",0.55,1.36,1.12,1,94,"San Bernardino","Middle Santa Ana","Santa Ana",c(-117.54376, 34.25033),0.138752958842745,0.212687520877368,0.32192945688945,"Impacted for CSCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"187","801M12611","Orange",801,"Lower Santa Ana","Urban","22560942","SC","likely constrained",0.23971408,0.4735749,0.71721435,2015-07-01,0.46342111,2015,"0.538791792242638","0.473721217611086",0.8,0.8,0,NA,2228.5,0.71,0.42,0.43,1.33,0.8,1.46,0.77,34,0.91,43.6,12,0.16,112.76,0,40,30.56,50,41.67,37.5,"Arid","NO","NO","NO","YES","",0.42,1.33,1.46,34,12,"Orange","Lower Santa Ana","Santa Ana",c(-117.86822, 33.80456),0.937692146079319,0.989214511890328,0.999327979382399,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
